setup_id,rank,sharpe_lb,sharpe_median,omega_ratio,support,best_performing_ticker,entry_direction,annualized_return,volatility,max_drawdown,first_trigger_date,last_trigger_date,description,signal_ids
SETUP_0000,1,79.3945,100.9927,999.0000,12.0000,TSLA US Equity,long,0.0000,0.0534,0.0000,2019-12-17,2021-07-29,XLE US Equity_vs_SPY US Equity_beta_px_60d is_high AND BMY US Equity_px_zscore_90d is_very_high_z AND XLC US Equity_px_zscore_90d is_high,"SIG_00873, SIG_00475, SIG_00075"
SETUP_0001,1,79.3945,102.1893,999.0000,12.0000,TSLA US Equity,long,0.0000,0.0534,0.0000,2019-12-17,2021-07-29,BMY US Equity_px_zscore_90d is_very_high_z AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLC US Equity_px_zscore_90d is_high,"SIG_00475, SIG_00873, SIG_00075"
SETUP_0002,1,79.3945,100.9927,999.0000,12.0000,TSLA US Equity,long,0.0000,0.0534,0.0000,2019-12-17,2021-07-29,XLC US Equity_px_zscore_90d is_high AND BMY US Equity_px_zscore_90d is_very_high_z AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00075, SIG_00475, SIG_00873"
SETUP_0003,1,53.9858,64.7340,999.0000,16.0000,MSTR US Equity,long,0.0000,0.1551,0.0000,2020-12-14,2021-09-28,QQQ US Equity_realized_vol_21d is_low AND XLE US Equity_realized_vol_21d is_high,"SIG_00177, SIG_00012"
SETUP_0005,1,49.2735,57.9132,999.0000,20.0000,AMD US Equity,long,0.0000,0.1648,0.0000,2020-07-10,2021-01-04,USGG10YR Index_realized_vol_21d z_breakout_neg AND XLE US Equity_realized_vol_21d is_high,"SIG_00728, SIG_00012"
SETUP_0009,1,40.7644,54.4144,343.9663,28.0000,PLTR US Equity,long,0.0000,0.1373,-0.0018,2019-11-06,2021-08-23,JPM US Equity_vs_SPY US Equity_beta_px_60d is_high AND BMY US Equity_px_zscore_90d is_very_high_z AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00984, SIG_00475, SIG_00873"
SETUP_0006,1,40.2554,44.7600,999.0000,21.0000,CRWV US Equity,long,0.0000,0.3137,0.0000,2025-04-10,2025-05-08,AAPL US Equity_realized_vol_21d is_high AND ARM US Equity_realized_vol_21d is_high,"SIG_00315, SIG_00433"
SETUP_0007,1,35.9101,44.6013,999.0000,25.0000,TSLA US Equity,long,0.0000,0.1054,0.0000,2019-12-17,2021-07-29,XLC US Equity_px_zscore_90d is_high AND BMY US Equity_px_zscore_90d is_high AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00075, SIG_00473, SIG_00873"
SETUP_0008,1,31.9443,39.3399,999.0000,27.0000,TSLA US Equity,long,0.0000,0.1283,0.0000,2019-11-18,2024-12-03,JPM US Equity_vs_SPY US Equity_beta_px_60d is_high AND BMY US Equity_px_zscore_90d is_very_high_z AND XLC US Equity_px_zscore_90d is_high,"SIG_00984, SIG_00475, SIG_00075"
SETUP_0010,1,31.8064,38.0797,906.1419,31.0000,BTC Index,long,0.0000,0.2094,0.0000,2020-04-17,2023-04-04,XLE US Equity_realized_vol_21d is_high AND AMD US Equity_px_zscore_90d is_very_high_z,"SIG_00012, SIG_00451"
SETUP_0004,1,29.4326,41.8163,4587.4133,19.0000,TSLA US Equity,long,0.0000,0.2177,0.0000,2020-04-17,2020-12-21,XLE US Equity_realized_vol_21d is_high AND JPM US Equity_vs_SPY US Equity_beta_px_60d is_high AND AMD US Equity_px_zscore_90d is_very_high_z,"SIG_00012, SIG_00984, SIG_00451"
SETUP_0013,1,24.1556,29.4956,208.7926,64.0000,PLTR US Equity,long,0.0000,0.1549,-0.0033,2018-08-15,2025-01-28,BMY US Equity_px_zscore_90d is_very_high_z AND JPM US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00475, SIG_00984"
